volume	volume_dir	target	kind	status	pdf	bytes	sha256	error
I	vol01_linear_algebra	book.tex	canonical	PASS	books/vol01_linear_algebra/book.pdf	1104726	bbd35ce18627f190308b739de50bdc7dd9d9a64203d22bee9498a2512580d950	-
II	vol02_real_analysis	book.tex	canonical	PASS	books/vol02_real_analysis/book.pdf	1341556	2b490400758901b6e151dbb33b9d6667bdf82552b4b40c6fa9758015514bbcf5	-
III	vol03_fourier_distributions_pde	book.tex	canonical	PASS	books/vol03_fourier_distributions_pde/book.pdf	1600016	26b8fd7a227376f64ab2800c0263506b78645089402dac8533db96e77618d030	-
IV	vol04_complex_analysis	book.tex	canonical	PASS	books/vol04_complex_analysis/book.pdf	1812396	c5886e80377d6ac79d5bb9c7faf450bab9ed0c911fb7aeb02de1e19286b0a640	-
V	vol05_commutative_algebra	book.tex	canonical	PASS	books/vol05_commutative_algebra/book.pdf	1565984	b3f8819bfa1c4877586c2f41c8f5f416695fe1ead81fb6727d33011446697db6	-
VI	vol06_algebraic_geometry	book.tex	canonical	PASS	books/vol06_algebraic_geometry/book.pdf	4885386	8d0c798205882c8151423b7458b25c6e85b230bd3ec7607b27ed196b23ea5c3a	-
VII	vol07_differential_geometry	book.tex	canonical	PASS	books/vol07_differential_geometry/book.pdf	3089655	a6ebb3d4990a80b3c413f21166435884c4e91cd17b4228f64cd6e11876c448e9	-
VIII	vol08_algebraic_topology	book.tex	canonical	PASS	books/vol08_algebraic_topology/book.pdf	2724357	79a85bffc4a92a679b80416746369875b8efe1c44adf86ff04e56e92bd8fc454	-
