volume	title	expected_source	expected_pages	rendered_pages	pdf_bytes	pdf_sha256	renderer	text_extractor	low_text_review_pages	overfull_boxes	overfull_ge_20pt	status
I	Linear Algebra	reports/series/POST_PEDAGOGY_PDF_INVENTORY.tsv	155	155	1104726	bbd35ce18627f190308b739de50bdc7dd9d9a64203d22bee9498a2512580d950	pdftoppm	pdftotext	1	0	0	PASS
II	Real Analysis and Topological Foundations	reports/series/POST_PEDAGOGY_PDF_INVENTORY.tsv	209	209	1341556	2b490400758901b6e151dbb33b9d6667bdf82552b4b40c6fa9758015514bbcf5	pdftoppm	pdftotext	1	0	0	PASS
III	Measure, Fourier Analysis, Distributions and PDE	reports/series/POST_PEDAGOGY_PDF_INVENTORY.tsv	265	265	1600016	26b8fd7a227376f64ab2800c0263506b78645089402dac8533db96e77618d030	pdftoppm	pdftotext	0	0	0	PASS
IV	Complex Analysis and Riemann Surfaces	reports/series/POST_PEDAGOGY_PDF_INVENTORY.tsv	297	297	1812396	c5886e80377d6ac79d5bb9c7faf450bab9ed0c911fb7aeb02de1e19286b0a640	pdftoppm	pdftotext	0	31	0	PASS
V	Commutative Algebra and Homological Methods	reports/series/POST_PEDAGOGY_PDF_INVENTORY.tsv	266	266	1565984	b3f8819bfa1c4877586c2f41c8f5f416695fe1ead81fb6727d33011446697db6	pdftoppm	pdftotext	0	28	0	PASS
VI	Algebraic Geometry and Sheaf Theory	reports/series/POST_PEDAGOGY_PDF_INVENTORY.tsv	798	798	4885386	8d0c798205882c8151423b7458b25c6e85b230bd3ec7607b27ed196b23ea5c3a	pdftoppm	pdftotext	2	4	0	PASS
VII	Differential, Riemannian and Hyperbolic Geometry	reports/series/POST_PEDAGOGY_PDF_INVENTORY.tsv	541	541	3089655	a6ebb3d4990a80b3c413f21166435884c4e91cd17b4228f64cd6e11876c448e9	pdftoppm	pdftotext	2	1	0	PASS
VIII	Algebraic Topology	reports/series/POST_PEDAGOGY_PDF_INVENTORY.tsv	469	469	2724357	79a85bffc4a92a679b80416746369875b8efe1c44adf86ff04e56e92bd8fc454	pdftoppm	pdftotext	4	0	0	PASS
