volume	pdf_path	exists	pages	bytes	sha256
I	books/vol01_linear_algebra/book.pdf	YES	102	845279	e555dcbd2749d437b43f5c1186b777c7bfaeeeef0c5c6514c459d4bc9fbcd956
II	books/vol02_real_analysis/book.pdf	YES	135	966389	e31e46038605c30a80bd6f69d97635e7cb76da05b9a144f64c7c42e7105283b0
III	books/vol03_fourier_distributions_pde/book.pdf	YES	195	1260974	af07f02ed5d8abddf1d8a925ee4fce4db74dd83586a85f96fdc6b6b361ebc13b
IV	books/vol04_complex_analysis/book.pdf	YES	205	1346495	2b97c5b616447dca4a00e2b9ec0afca3337e177c13f4bc880dd85a2bc08d862b
V	books/vol05_commutative_algebra/book.pdf	YES	185	1197670	bdcc6b5f8edf336166da3ebbaf79f33c37cdf47f7b44aa4112a69d0e5dbd21f1
VI	books/vol06_algebraic_geometry/book.pdf	YES	677	4303800	5ad39c20e6ee0196de1ef8681f64a3564b8aec5af6e31ed0de402c5c5e26561d
VII	books/vol07_differential_geometry/book.pdf	YES	413	2495359	ed1453cee7f59eae96c3c923137e68ea9bf3286547ae4b4b8e8e056cd7e22497
VIII	books/vol08_algebraic_topology/book.pdf	YES	338	2061492	5bacceef6f4ece55649e6fc732f01c5814a2ff9cd661941acb73be1760591887
