import_root	path	sha256	bytes	standalone	target_volume	active_book_reference	identical_copy_count	integration_status
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch01/work_interpretation.tex	ae09330ba5eb6a87bfece1aa4e01d4432fcb6c20abf587eca7e8aedd5998fc21	569	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch02/chain_rule_graph.tex	081fff95662b3e6d311e09c480ef96adc248dd235a7d66dd909341612290db1a	807	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch02/directional_derivative_geometry.tex	812e51777ca56e3f5de2ef674867e39bbddd970a57ff4465c364f217732688d9	589	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch02/epsilon_delta_limit.tex	ac6f2c50610b2aaaa075f6360f7778001032783efe580f6ee2278163b15e6fd0	816	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch02/function_mapping.tex	019a052d834054835d2ccb9bff1965135e151549f8e3bcb2fc5a5dffaa3b837a	618	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch02/gradient_flow.tex	316770073a5c6d189d142bd926972947d984f0e32683e39030fb43552829d54f	486	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch02/jacobian_area.tex	f9bce51bc915e8889873c33edbab4b9accc60742014edcf0a304dc753650638e	894	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch02/local_linearization.tex	8fcb6574de01c9fca80e956b0d3e50fe22de93341643ef4835b83fb4b497de78	636	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch02/total_differential_plane.tex	5cd36776cfb6b0992733a65f4436bfa6504b8938f2726d389d511070b6f13d5d	735	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch03/divergence_source_sink.tex	3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf	642	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch03/gauss_volume.tex	dec4699e772ed02c5d389b5fa76089e45ca4df9f0be01bad965ddc5e2c4eb07c	329	no	UNMAPPED	no	23	deduplicate-before-integration
