volume	number	title	chapters	frozen	complete	readiness	build_status	source_baseline_sha256	freeze_manifest	freeze_manifest_sha256	release_doc	release_doc_sha256	pdf_pages	pdf_bytes	pdf_sha256	release_pdf
I	1	Linear Algebra	18	18	18	RELEASED	PASS	1f6dee18c955b01dea20526eaed79b7e990d752aa12f78a1d5119f706ee61a7d	books/vol01_linear_algebra/freeze/VOLUME01_FREEZE_MANIFEST.sha256	1c9fad9b055e5c2fbabd18420e4fd51ef0b2d7e800408eb663d06824efdde97c	books/vol01_linear_algebra/freeze/RELEASE_VOLUME01.md	aed2edc843ff1ab17cd1c064a0c8e8f9ca9ef06dee0043ba2017db9be40d21c5	174	1247992	439c20054c5392e743c3ded20b51d692a99e2a4141f4f961e32f73678a3611ff	pdfs/volume01_linear_algebra.pdf
II	2	Real Analysis and Topological Foundations	25	25	25	RELEASED	PASS	2312e4b4dc49bab9f8f0ea570f80009fdebea2441a49beee755405aa4e9cfffa	books/vol02_real_analysis/freeze/VOLUME02_FREEZE_MANIFEST.sha256	85cf29e4c2f06d5c9fe7690281fc331f51e5b3e006e95d57a9f74f7053bb39d5	books/vol02_real_analysis/freeze/RELEASE_VOLUME02.md	bbf1921e57fd244545e857b5a45ca25d3a36122c237a03f9e64fd8a01a8a5341	225	1471446	82194227a46db53b5c0383df0dcfb53c6fe029869e30cf2297c4d7b6c116d2c8	pdfs/volume02_real_analysis.pdf
III	3	Measure, Fourier Analysis, Distributions and PDE	28	28	28	RELEASED	PASS	962f1870da58baaffbc29b2640caf907b76f995002dfa9a84520b993c9c84ee5	books/vol03_fourier_distributions_pde/freeze/VOLUME03_FREEZE_MANIFEST.sha256	623071e8857bab572c6e1d17d3e20f3bc1aa62188827fdf48c1cc14cd7d373f9	books/vol03_fourier_distributions_pde/freeze/RELEASE_VOLUME03.md	1c905a6765c5d317118c393c167551da949d4913d0f6e140f8403c75cbf4576b	272	1708268	9d4891ef2eea045f7af30e67cfffb75ecd8db2649e6d0bf171f3f701ae249972	pdfs/volume03_fourier_distributions_pde.pdf
IV	4	Complex Analysis and Riemann Surfaces	31	31	31	RELEASED	PASS	8834273a77a312ad1481101d6e73242ebeb2975d3fcc3838bd5112510a6c0fbc	books/vol04_complex_analysis/freeze/VOLUME04_FREEZE_MANIFEST.sha256	7d13ba3ea0383eb0e4523fc65d51ca824bd745585bfdac422baf9d6721abb4d8	books/vol04_complex_analysis/freeze/RELEASE_VOLUME04.md	e819df71f68704bc6fb0de9b01e73a273fbb738d5ff6a6687bd8c92109ef52bd	327	1917517	59625efe670d4b3d00322bea2eda30e93ab14812fcf16df85175e298c825586b	pdfs/volume04_complex_analysis.pdf
V	5	Commutative Algebra and Homological Methods	28	28	28	RELEASED	PASS	3443352de3b4b046738cacda4161e3d9666aae1955a322297fff36f9c36aecef	books/vol05_commutative_algebra/freeze/VOLUME05_FREEZE_MANIFEST.sha256	71e86d179369c010665ab67d02fa29c4f20e15ffaf608ea4d337a4cb6d1b17b3	books/vol05_commutative_algebra/freeze/RELEASE_VOLUME05.md	fd83994b775cfe93936e0900a23b49a6a4449985450eb3b393713377487997aa	276	1633642	7bdeff50eec9a63f5df7b1808b8fd5107f4d50f93823fcf4ee764b8abfb362e0	pdfs/volume05_commutative_algebra.pdf
VI	6	Algebraic Geometry and Sheaf Theory	49	49	49	RELEASED	PASS	1f709365bfccf245b7eaf305f76564559aae9b7c21ab365baad0706c06df4b09	books/vol06_algebraic_geometry/freeze/VOLUME06_FREEZE_MANIFEST.sha256	c7a936d154db244dfc7691105b8bbb3bd31599b5b14fed058ffc2f8b79b91a16	books/vol06_algebraic_geometry/freeze/RELEASE_VOLUME06.md	8a5cd09a92c8f361ca9910f7ae65d071a1c8e5e2d4d0994ab5b25bd504bedf2a	800	4893828	185f4e48eebec8359cf8db5539e97d53cbea020699fa3f2a9b9301e453732ecf	pdfs/volume06_algebraic_geometry.pdf
VII	7	Differential, Riemannian and Hyperbolic Geometry	42	42	42	RELEASED	PASS	52b24e97be14a4f9c583116360ba8e6764d530444f31cac9cfc70d0ef1e9afb6	books/vol07_differential_geometry/freeze/VOLUME07_FREEZE_MANIFEST.sha256	164975fc0609b0844e04c40d406ab79ed1e1c8bfb2f2487e2010e3a9e2c3ca74	books/vol07_differential_geometry/freeze/RELEASE_VOLUME07.md	361bf4a4902c3915d1f25ecffce1bd1d79329e02769f4d8133d7cd7a0c514ad6	496	2884965	64e0f4970caee6c05456e214264896e6459f8f159d17ec788ef00ddfe83502bd	pdfs/volume07_differential_geometry.pdf
VIII	8	Algebraic Topology	35	35	35	RELEASED	PASS	18bdc61a0ba6822a92468a13898fbce8c1ad43026a1113d7a8e03d13ecab8b4f	books/vol08_algebraic_topology/freeze/VOLUME08_FREEZE_MANIFEST.sha256	182a1c383d87fa722559a81b125b32defe12bb04eefba043ab582ec7007750fc	books/vol08_algebraic_topology/freeze/RELEASE_VOLUME08.md	6aac52a35e92bfda70fed83434369ab1aeb884a89ab1ac3c30c3b8362285229c	469	2731491	4e7d3d0be3b65896abcafba9ae90f2dd66ca5f43f5c75c22c4af52e9f98ea2ef	pdfs/volume08_algebraic_topology.pdf
