volume	number	title	pages	bytes	sha256	release_pdf
I	1	Linear Algebra	100	820016	0ec438dabc1888575333f5d8895e4c5954e58d0f88c369778cc2c59baf73a0e7	pdfs/volume01_linear_algebra.pdf
II	2	Real Analysis and Topological Foundations	122	918820	cda0c7e64b285e8dff0bfcbe510d9ccce85ca8fb2fbf68ded347756a3cc4ed6e	pdfs/volume02_real_analysis.pdf
III	3	Measure, Fourier Analysis, Distributions and PDE	182	1216524	288937ac34a0782598e47bd9514f30385150875e2e8f1f2987a281345e45b5e4	pdfs/volume03_fourier_distributions_pde.pdf
IV	4	Complex Analysis and Riemann Surfaces	203	1312147	8a677b1c6d5ed129c03f84561a3c0af4dbaf3c28aceda81fff214ed94a11256c	pdfs/volume04_complex_analysis.pdf
V	5	Commutative Algebra and Homological Methods	184	1169111	7da57c67f1f423cf41f51942eb2b528a219313228b4459472a94fc194c232992	pdfs/volume05_commutative_algebra.pdf
VI	6	Algebraic Geometry and Sheaf Theory	677	4303283	302a9883e205cac2b5253e41b22c7021961377e01dcf0ee5af2807485bdb3aae	pdfs/volume06_algebraic_geometry.pdf
VII	7	Differential, Riemannian and Hyperbolic Geometry	367	2280609	e5e6282f9a3bdd1c75db3fdac3ee0d189be478fc46f764976c3a4dad79f9abe2	pdfs/volume07_differential_geometry.pdf
VIII	8	Algebraic Topology	338	2061492	5bacceef6f4ece55649e6fc732f01c5814a2ff9cd661941acb73be1760591887	pdfs/volume08_algebraic_topology.pdf
