problem_id	source_id	source_collection	source_file	source_line_range	source_problem_number	source_heading	detected_type	confidence	rejection_reason
IMP-DL-2370D81D66-P005	IMP-DL-2370D81D66	Downloads	Downloads/theory-of-analysis-FD.tex	L2229-L2230	1.4	Exercise 1.4	EXERCISE	MEDIUM	EMPTY_NORMALIZED_STATEMENT; structural marker retained for audit
IMP-M2-D036BAB254-P005	IMP-M2-D036BAB254	MATH-ALLS-2	MATH-ALLS-2/theory-of-analysis-FD.tex	L2229-L2230	1.4	Exercise 1.4	EXERCISE	MEDIUM	EMPTY_NORMALIZED_STATEMENT; structural marker retained for audit
