group_id,duplicate_type,sha256,structural_sha256,path,group_size,notes
exact-185,exact,377cc71895c43a44e705c50d2afd702bc0402557c2ae182894ea6b1b49a87c48,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter02_motion/sections/2_09_dot_notation.tex,8,identical SHA256
exact-185,exact,377cc71895c43a44e705c50d2afd702bc0402557c2ae182894ea6b1b49a87c48,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/source_archives/PR-BOOK-10.0_active_before_exact_plan/chapters/chapter04_motion/sections/4_09_dot_notation.tex,8,identical SHA256
exact-185,exact,377cc71895c43a44e705c50d2afd702bc0402557c2ae182894ea6b1b49a87c48,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/book/parts/part02_classical_physics_foundations/chapter08_motion/sections/8_09_dot_notation.tex,8,identical SHA256
exact-185,exact,377cc71895c43a44e705c50d2afd702bc0402557c2ae182894ea6b1b49a87c48,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/chapters/chapter04_motion/sections/4_09_dot_notation.tex,8,identical SHA256
exact-185,exact,377cc71895c43a44e705c50d2afd702bc0402557c2ae182894ea6b1b49a87c48,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter02_motion/sections/2_09_dot_notation.tex,8,identical SHA256
exact-185,exact,377cc71895c43a44e705c50d2afd702bc0402557c2ae182894ea6b1b49a87c48,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/source_archives/PR-BOOK-10.0_active_before_exact_plan/chapters/chapter04_motion/sections/4_09_dot_notation.tex,8,identical SHA256
exact-186,exact,378c928abab712f1722a8dd9f1873fb81d9efd742f2255f62d90ca74681da8c7,,imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory-main-CH6-COMMITS-57-61-v2.9-FULL-PROJECT(1)/ch4_work/figures/ch06/qr_factorization.tex,3,identical SHA256
exact-186,exact,378c928abab712f1722a8dd9f1873fb81d9efd742f2255f62d90ca74681da8c7,,imports/COMPILE_READY/figures/Downloads_theory-main-CH6-COMMITS-57-61-v2.9-FULL-PROJECT_1_ch4_work_figures_ch06_qr_factorization.tex,3,identical SHA256
exact-186,exact,378c928abab712f1722a8dd9f1873fb81d9efd742f2255f62d90ca74681da8c7,,imports/Downloads/theory-main-CH6-COMMITS-57-61-v2.9-FULL-PROJECT(1)/ch4_work/figures/ch06/qr_factorization.tex,3,identical SHA256
exact-187,exact,37f76d628a3058bdee11bfd0cf120ded134424c6cb757bbda3b02abe8dfbcced,,imports/ALL_TEX_AND_FIGURES/tex/Downloads/theory-of-analysis-functions.tex,4,identical SHA256
exact-187,exact,37f76d628a3058bdee11bfd0cf120ded134424c6cb757bbda3b02abe8dfbcced,,imports/ALL_TEX_AND_FIGURES/tex/MATH-ALLS-2/theory-of-analysis-functions.tex,4,identical SHA256
exact-187,exact,37f76d628a3058bdee11bfd0cf120ded134424c6cb757bbda3b02abe8dfbcced,,imports/Downloads/theory-of-analysis-functions.tex,4,identical SHA256
exact-187,exact,37f76d628a3058bdee11bfd0cf120ded134424c6cb757bbda3b02abe8dfbcced,,imports/MATH-ALLS-2/theory-of-analysis-functions.tex,4,identical SHA256
exact-188,exact,3899ee516aaf3654507900bab3308fcdea677dbd9ba4b84028461b0566edff30,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter04_vector_integration/sections/4_01_introduction_from_local_to_global_physics.tex,2,identical SHA256
exact-188,exact,3899ee516aaf3654507900bab3308fcdea677dbd9ba4b84028461b0566edff30,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/legacy_sources/chapters_pre_PR_BOOK_10/chapter04_vector_integration/sections/4_01_introduction_from_local_to_global_physics.tex,2,identical SHA256
exact-189,exact,39f46c15c2649898056121d0e60d88ac3df6dfb41de77707accda781802fe59d,,imports/ALL_TEX_AND_FIGURES/tex/Downloads/theory-of-complex-analysis-maps.tex,4,identical SHA256
