semantic_unit_id	theme	status	problem_start_line	has_solution_env	embedded_solution_marker	atlas_has_solution	representative_problem_id	source_problem_ids	linked_solution_candidates	linked_solution_candidate_count
CP-IV-0064		SOLVED	7945	YES	NO					0
CP-IV-0067		UNSOLVED	7982	NO	NO					0
CP-IV-0068		UNSOLVED	7987	NO	NO					0
CP-IV-0071		UNSOLVED	7995	NO	NO					0
CP-IV-0073		SOLVED	8000	YES	NO					0
CP-IV-0074		SOLVED	8035	YES	NO					0
CP-IV-0075		UNSOLVED	8060	NO	NO					0
CP-IV-0078		SOLVED	8071	YES	NO					0
CP-IV-0081		UNSOLVED	8119	NO	YES					0
CP-IV-0083		UNSOLVED	8131	NO	NO					0
CP-IV-0085		UNSOLVED	8177	NO	NO					0
CP-IV-0087		UNSOLVED	8182	NO	NO					0
CP-IV-0088		UNSOLVED	8187	NO	NO					0
CP-IV-0091		UNSOLVED	8192	NO	NO					0
CP-IV-0093		UNSOLVED	8230	NO	YES					0
CP-IV-0094		UNSOLVED	8240	NO	NO					0
CP-IV-0095		UNSOLVED	8256	NO	NO					0
CP-IV-0100		UNSOLVED	8264	NO	NO					0
CP-IV-0101		UNSOLVED	8289	NO	YES					0
CP-IV-0103		UNSOLVED	8296	NO	YES					0
CP-IV-0104		SOLVED	8309	YES	NO					0
CP-IV-0105		UNSOLVED	8336	NO	NO					0
CP-IV-0108		UNSOLVED	8345	NO	NO					0
CP-IV-0109		SOLVED	8355	YES	NO					0
CP-IV-0113		SOLVED	8384	YES	NO					0
CP-IV-0114		SOLVED	8408	YES	NO					0
CP-IV-0115		UNSOLVED	8470	NO	NO					0
CP-IV-0119		UNSOLVED	8502	NO	NO					0
CP-IV-0120		UNSOLVED	8510	NO	NO					0
CP-IV-0121		UNSOLVED	8519	NO	NO					0
CP-IV-0122		UNSOLVED	8541	NO	NO					0
CP-IV-0125		SOLVED	8546	YES	NO					0
CP-IV-0127		UNSOLVED	8575	NO	NO					0
CP-IV-0128		SOLVED	8589	YES	NO					0
CP-IV-0130		UNSOLVED	8614	NO	NO					0
CP-IV-0131		SOLVED	8630	YES	NO					0
CP-IV-0132		UNSOLVED	8663	NO	NO					0
CP-IV-0136		UNSOLVED	8668	NO	NO					0
CP-IV-0020		SOLVED	8698	YES	NO					0
CP-IV-0060		UNSOLVED	8733	NO	NO					0
