volume	number	title	pages	bytes	sha256	release_pdf
I	1	Linear Algebra	155	1104726	bbd35ce18627f190308b739de50bdc7dd9d9a64203d22bee9498a2512580d950	pdfs/volume01_linear_algebra.pdf
II	2	Real Analysis and Topological Foundations	209	1341556	2b490400758901b6e151dbb33b9d6667bdf82552b4b40c6fa9758015514bbcf5	pdfs/volume02_real_analysis.pdf
III	3	Measure, Fourier Analysis, Distributions and PDE	265	1600016	26b8fd7a227376f64ab2800c0263506b78645089402dac8533db96e77618d030	pdfs/volume03_fourier_distributions_pde.pdf
IV	4	Complex Analysis and Riemann Surfaces	297	1812396	c5886e80377d6ac79d5bb9c7faf450bab9ed0c911fb7aeb02de1e19286b0a640	pdfs/volume04_complex_analysis.pdf
V	5	Commutative Algebra and Homological Methods	266	1565984	b3f8819bfa1c4877586c2f41c8f5f416695fe1ead81fb6727d33011446697db6	pdfs/volume05_commutative_algebra.pdf
VI	6	Algebraic Geometry and Sheaf Theory	798	4885386	8d0c798205882c8151423b7458b25c6e85b230bd3ec7607b27ed196b23ea5c3a	pdfs/volume06_algebraic_geometry.pdf
VII	7	Differential, Riemannian and Hyperbolic Geometry	541	3089655	a6ebb3d4990a80b3c413f21166435884c4e91cd17b4228f64cd6e11876c448e9	pdfs/volume07_differential_geometry.pdf
VIII	8	Algebraic Topology	469	2724357	79a85bffc4a92a679b80416746369875b8efe1c44adf86ff04e56e92bd8fc454	pdfs/volume08_algebraic_topology.pdf
