volume	number	title	directory	chapter_rows	planned	drafted	frozen	complete	book_tex	active_includes	parts	latex_title	pdf_title	build_status	pdf_pages	pdf_sha256
I	1	Linear Algebra	vol01_linear_algebra	18	0	0	18	18	YES	18	3	Theory of Mathematics\\[0.5em]\Large Volume I: Linear Algebra	Theory of Mathematics — Volume I: Linear Algebra	PASS	100	0ec438dabc1888575333f5d8895e4c5954e58d0f88c369778cc2c59baf73a0e7
II	2	Real Analysis and Topological Foundations	vol02_real_analysis	25	0	0	25	25	YES	25	5	Theory of Mathematics\\[0.5em]\Large Volume II: Real Analysis and Topological Foundations	Theory of Mathematics — Volume II: Real Analysis and Topological Foundations	PASS	122	cda0c7e64b285e8dff0bfcbe510d9ccce85ca8fb2fbf68ded347756a3cc4ed6e
III	3	Measure, Fourier Analysis, Distributions and PDE	vol03_fourier_distributions_pde	28	0	0	28	28	YES	28	4	Theory of Mathematics\\[0.5em]\Large Volume III: Measure, Fourier Analysis, Distributions and PDE	Theory of Mathematics — Volume III: Measure, Fourier Analysis, Distributions and PDE	PASS	182	288937ac34a0782598e47bd9514f30385150875e2e8f1f2987a281345e45b5e4
IV	4	Complex Analysis and Riemann Surfaces	vol04_complex_analysis	31	0	0	31	31	YES	31	6	Theory of Mathematics\\[0.5em]\Large Volume IV: Complex Analysis and Riemann Surfaces	Theory of Mathematics — Volume IV: Complex Analysis and Riemann Surfaces	PASS	203	8a677b1c6d5ed129c03f84561a3c0af4dbaf3c28aceda81fff214ed94a11256c
V	5	Commutative Algebra and Homological Methods	vol05_commutative_algebra	28	0	0	28	28	YES	28	6	Theory of Mathematics\\[0.5em]\Large Volume V: Commutative Algebra and Homological Methods	Theory of Mathematics — Volume V: Commutative Algebra and Homological Methods	PASS	184	7da57c67f1f423cf41f51942eb2b528a219313228b4459472a94fc194c232992
VI	6	Algebraic Geometry and Sheaf Theory	vol06_algebraic_geometry	49	0	0	49	49	YES	49	9	Theory of Mathematics\\[0.5em]\Large Volume VI: Algebraic Geometry and Sheaf Theory	Theory of Mathematics — Volume VI: Algebraic Geometry and Sheaf Theory	PASS	677	302a9883e205cac2b5253e41b22c7021961377e01dcf0ee5af2807485bdb3aae
VII	7	Differential, Riemannian and Hyperbolic Geometry	vol07_differential_geometry	42	0	0	42	42	YES	42	7	Theory of Mathematics\\[0.5em]\Large Volume VII: Differential, Riemannian and Hyperbolic Geometry	Theory of Mathematics - Volume VII: Differential, Riemannian and Hyperbolic Geometry	PASS	367	e5e6282f9a3bdd1c75db3fdac3ee0d189be478fc46f764976c3a4dad79f9abe2
VIII	8	Algebraic Topology	vol08_algebraic_topology	35	0	0	35	35	YES	35	6	Theory of Mathematics\\[0.5em]\Large Volume VIII: Algebraic Topology	Theory of Mathematics - Volume VIII: Algebraic Topology	PASS	338	5bacceef6f4ece55649e6fc732f01c5814a2ff9cd661941acb73be1760591887
