volume	number	title	directory	chapter_rows	planned	drafted	frozen	complete	book_tex	active_includes	parts	latex_title	pdf_title	build_status	pdf_pages	pdf_sha256
I	1	Linear Algebra	vol01_linear_algebra	18	0	0	18	18	YES	18	3	Theory of Mathematics\\[0.5em]\Large Volume I: Linear Algebra	Theory of Mathematics — Volume I: Linear Algebra	PASS	174	439c20054c5392e743c3ded20b51d692a99e2a4141f4f961e32f73678a3611ff
II	2	Real Analysis and Topological Foundations	vol02_real_analysis	25	0	0	25	25	YES	26	5	Theory of Mathematics\\[0.5em]\Large Volume II: Real Analysis and Topological Foundations	Theory of Mathematics — Volume II: Real Analysis and Topological Foundations	PASS	225	82194227a46db53b5c0383df0dcfb53c6fe029869e30cf2297c4d7b6c116d2c8
III	3	Measure, Fourier Analysis, Distributions and PDE	vol03_fourier_distributions_pde	28	0	0	28	28	YES	28	4	Theory of Mathematics\\[0.5em]\Large Volume III: Measure, Fourier Analysis, Distributions and PDE	Theory of Mathematics — Volume III: Measure, Fourier Analysis, Distributions and PDE	PASS	272	9d4891ef2eea045f7af30e67cfffb75ecd8db2649e6d0bf171f3f701ae249972
IV	4	Complex Analysis and Riemann Surfaces	vol04_complex_analysis	31	0	0	31	31	YES	31	6	Theory of Mathematics\\[0.5em]\Large Volume IV: Complex Analysis and Riemann Surfaces	Theory of Mathematics — Volume IV: Complex Analysis and Riemann Surfaces	PASS	327	59625efe670d4b3d00322bea2eda30e93ab14812fcf16df85175e298c825586b
V	5	Commutative Algebra and Homological Methods	vol05_commutative_algebra	28	0	0	28	28	YES	28	6	Theory of Mathematics\\[0.5em]\Large Volume V: Commutative Algebra and Homological Methods	Theory of Mathematics — Volume V: Commutative Algebra and Homological Methods	PASS	276	7bdeff50eec9a63f5df7b1808b8fd5107f4d50f93823fcf4ee764b8abfb362e0
VI	6	Algebraic Geometry and Sheaf Theory	vol06_algebraic_geometry	49	0	0	49	49	YES	49	9	Theory of Mathematics\\[0.5em]\Large Volume VI: Algebraic Geometry and Sheaf Theory	Theory of Mathematics — Volume VI: Algebraic Geometry and Sheaf Theory	PASS	800	185f4e48eebec8359cf8db5539e97d53cbea020699fa3f2a9b9301e453732ecf
VII	7	Differential, Riemannian and Hyperbolic Geometry	vol07_differential_geometry	42	0	0	42	42	YES	42	7	Theory of Mathematics\\[0.5em]\Large Volume VII: Differential, Riemannian and Hyperbolic Geometry	Theory of Mathematics - Volume VII: Differential, Riemannian and Hyperbolic Geometry	PASS	496	64e0f4970caee6c05456e214264896e6459f8f159d17ec788ef00ddfe83502bd
VIII	8	Algebraic Topology	vol08_algebraic_topology	35	0	0	35	35	YES	35	6	Theory of Mathematics\\[0.5em]\Large Volume VIII: Algebraic Topology	Theory of Mathematics - Volume VIII: Algebraic Topology	PASS	469	4e7d3d0be3b65896abcafba9ae90f2dd66ca5f43f5c75c22c4af52e9f98ea2ef
