chapter	ordinal	label	exercise_sha256	hint_sha256	solution_sha256	status
IV/01	22	exr:iv01-expand-14	7c894945588b1ae5a3430339f9c766fdcf560a3ee84f43d04d987fdf88b70539	9a447678d6ebee024b3a8fb8eacab469bdecd33c9fae976b30c374cab7412470	aef1b556b3154874a4d1d30cb3cbe9501b91157b4f4be92efd5b0a09568fde89	PASS
IV/01	23	exr:iv01-expand-15	75f6f818984fa17e2d59a728b03f06b1980e7cf8c667c33dcac0b1a5b7aeab3a	96174a2425a62e765b0d044fc2db5ee39c31e737f9b2080238877768b699a66a	525bd88c333d220cc65936bfbe43e6a036fd06cdd5b6d64a7c85a0e7525a3105	PASS
IV/01	24	exr:iv01-expand-16	06ac51d7f1fc13d790bf3fbdc9549bca4717d1029a3f97933f6d4f2634bdd6f4	0eff48b8a247a61d84426985fe08b195beadf501348489bc56c1d6d96af2f9a7	78d681a493115ce12391bd948a2184cb320feb7bb66bfc779b6f2a68ebeb0070	PASS
IV/02	1	exr:iv02-01	efb10faaf9c5ec4293840523d366cfb411791ccdd155cbabc7f8997f133747dc	748d09dd977febfe3e2d2ad1ffc0a00cb51a99e99e3ca4c45a3af13e2a315666	4ad74d8da03a13ea70b9fcb0f9c618956f760bf307ca38505c93d6b7d50062ba	PASS
IV/02	2	exr:iv02-02	26b7f26637befd9f5ef68555b2fb1e514476303888f086ff620290452dd7a592	04ec78239c4e2cfd636455c5d447749bc912bc17d532fad4b94eca0893ce51cd	5c0a395b1a7aef916f56a7e6ae01eb4fcc49068c199aee9ee6de9e566c45e4e9	PASS
IV/02	3	exr:iv02-03	15329961b2832a2b464b3967893c9bf67149ac8ac0ac9d340660e1d4c4b438f9	84c1b2a7dde80dd74797de6e88d59c9ddf6b2510b57466437213714268e003ac	ad4242572a0cb33b3138c5fa03cd987b27108d6046746ee860e70443ce390e3e	PASS
IV/02	4	exr:iv02-04	f26f61f79b6034052aa2ff310e6cde77aeb3f17543365bc01ef139cc4b6a8e54	ea5b2873ac6f0af29c16b438bbd2c0d1598d4ccc61076566bf17d4eacc3d7e7c	897e6cc831fdedfe0e4e1fa423e686840c2802686d1c202f9b603bfa17a41377	PASS
IV/02	5	exr:iv02-05	edecdb8a465a5a161cd5aca363bd3998a7d5558f0ca684ffee42e1d57dbfbed1	b4cedf823e20e5f50245f520f4b04d94a42c2e516a539f4c7feb5f966dd2b1e6	a1fa0518a83babdc976c30722db682ff7d2ecaf9498b8f03d15f02a0ba229660	PASS
IV/02	6	exr:iv02-06	8e2207347506c2f015f7e340156a1842ecd137920033b704dcaf24e325554291	5d21c70ca5de8394902d4bafb80443143698672ccacf9853884bcee1e24f76de	508e544910fbd6629607da1252708fc92a9f53e684088c4ed78630930f89afa9	PASS
IV/02	7	exr:iv02-07	af9b059db6144c115faa1385fb94e84915cee9e3611681abbdd9d848743c6e21	5e7a5d8c254279ae617f01176ee49d43d3a56b780f276cf238554bdd15106d71	854e1704c3ac4ea56a9fd2255c3868594b6fc1e426464f6941b0384b81e2163c	PASS
IV/02	8	exr:iv02-08	028a3a460ce19eb26be2f8b8e7028e708352c70085d2f85661b75cfe7fb83f8b	8cd54bbf7a2f61788d6165a30b595d9b5cd85f1645695ccf948b61e28b79bad6	3eb684be033672fc194977a377f0dc5c6cfbdf9e4a0512cebe644b95d9949505	PASS
